"filename", "language", "Shell Script", "Python", "JavaScript", "HTML", "JSON", "CSS", "Batch", "PHP", "XML", "PowerShell", "Properties", "Markdown", "reStructuredText", "C", "comment", "blank", "total"
"c:\Users\seanh\OneDrive\Aether\python\comments.py", "Python", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 94
"c:\Users\seanh\OneDrive\Aether\python\models.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 71
"c:\Users\seanh\OneDrive\Aether\python\routes.py", "Python", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 34, 144
"c:\Users\seanh\OneDrive\Aether\python\user.py", "Python", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 154
"c:\Users\seanh\OneDrive\Aether\python\utils.py", "Python", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36, 163
"c:\Users\seanh\OneDrive\Aether\static\css\base.css", "CSS", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 205
"c:\Users\seanh\OneDrive\Aether\static\css\index.css", "CSS", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 149
"c:\Users\seanh\OneDrive\Aether\static\css\logins.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\seanh\OneDrive\Aether\static\css\profile.css", "CSS", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\seanh\OneDrive\Aether\static\js\comments.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 26, 200
"c:\Users\seanh\OneDrive\Aether\static\js\reactions.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\seanh\OneDrive\Aether\static\js\scroll.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Users\seanh\OneDrive\Aether\static\js\upload.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\seanh\OneDrive\Aether\static\react_app\asset-manifest.json", "JSON", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\seanh\OneDrive\Aether\static\react_app\index.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\seanh\OneDrive\Aether\static\react_app\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\seanh\OneDrive\Aether\static\react_app\static\css\main.e19be900.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\seanh\OneDrive\Aether\static\react_app\static\js\main.4e5f6d61.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\seanh\OneDrive\Aether\templates\base.html", "HTML", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60
"c:\Users\seanh\OneDrive\Aether\templates\content_macro.html", "HTML", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 54
"c:\Users\seanh\OneDrive\Aether\templates\feeds\following.html", "HTML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\seanh\OneDrive\Aether\templates\feeds\personal.html", "HTML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\seanh\OneDrive\Aether\templates\feeds\recommended.html", "HTML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\seanh\OneDrive\Aether\templates\home.html", "HTML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\seanh\OneDrive\Aether\templates\index.html", "HTML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\seanh\OneDrive\Aether\templates\profiles\personal_profile.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\seanh\OneDrive\Aether\templates\profiles\profile_index.html", "HTML", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 60
"c:\Users\seanh\OneDrive\Aether\templates\profiles\public_profile.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\seanh\OneDrive\Aether\templates\site_entrance\login.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\seanh\OneDrive\Aether\templates\site_entrance\register.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\seanh\OneDrive\Aether\unneeded\connection.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 29
"c:\Users\seanh\OneDrive\Aether\unneeded\contentTransfer.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 67
"c:\Users\seanh\OneDrive\Aether\unneeded\directsearch.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\seanh\OneDrive\Aether\unneeded\main.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 66
"c:\Users\seanh\OneDrive\Aether\unneeded\messagesApp.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\seanh\OneDrive\Aether\unneeded\oldPython.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\seanh\OneDrive\Aether\unneeded\old\CSS.css", "CSS", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"c:\Users\seanh\OneDrive\Aether\unneeded\old\CSS2.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\seanh\OneDrive\Aether\unneeded\old\connection.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
